small_tuple,small_tuple_fre,link_to_larger_num,link_to_larger_fre_mean,link_to_larger_fre_var,small_tuple_fre_2
2_4093,0.4026548672566372,58,0.10880889095028276,0.004771973681719839,0.16213094212546011
4_2160,0.2041078305519904,1,0.3044776119402983,0.0,0.04166000649264002
3_5503,0.14123124676668408,4,0.1739409499358152,0.0003711845442216296,0.019946265063272014
2_3228,0.07405682347461574,2,0.07915157785825144,3.238334168787815e-05,0.0054844131031503976
3_4821,0.10605276771857207,1,0.14377406931964076,0.0,0.011247189540769403
2_3791,0.1297158826269213,11,0.09368386398908904,0.0014085879963032127,0.016826210205681223
3_5173,0.12105535437144345,1,0.17329910141206686,0.0,0.014654398821995753
2_2549,0.05100139729855613,4,0.06880496637351269,4.750448883965749e-05,0.0026011425264051685
2_3503,0.09268747088961342,3,0.05914812898775645,2.450309784280271e-05,0.008590967259912935
2_4127,0.8360503027480205,58,0.12561321512032395,0.009921710082015424,0.6989801087250568
5_552,0.9761194029850736,2,0.8855721393034828,0.013093735303581551,0.9528090888839366
2_3681,0.11178388448998602,4,0.05716502845318155,9.300174575650928e-06,0.012495636831670537
2_3614,0.10503027480204936,6,0.07242628039317123,0.00025897752319534954,0.011031358624994006
2_3824,0.1367023754075454,4,0.06919296430419031,0.00044284554296828213,0.018687539442065474
2_3907,0.16511411271541687,14,0.07929938659374765,0.0005169263969245889,0.02726267021779939
2_2821,0.058220773171867725,4,0.06052767718572166,3.987700753300818e-05,0.0033896584287300725
3_4900,0.1096740817382309,1,0.13350449293966626,0.0,0.012028404205124153
4_1423,0.16302952503209234,1,0.30746268656716325,0.0,0.026578626032189624
3_4383,0.0936368339368856,2,0.14313222079589205,3.707725746942182e-06,0.00876785666972389
3_5167,0.12105535437144345,1,0.18613607188703485,0.0,0.014654398821995753
4_2764,0.31322207958921666,1,0.2985074626865667,0.0,0.09810807114219358
3_5177,0.1215726849456802,4,0.1562901155327343,0.00042134183418720455,0.014779917724901618
2_3872,0.15160689333954355,12,0.08376444214519736,0.0019426194989170067,0.022984650108067734
3_6218,0.4609415416451113,17,0.23650230310352635,0.006120515803638576,0.2124671048141719
2_3857,0.14601769911504425,16,0.08002457320227628,0.0009982539340407507,0.021321168454851595
3_3131,0.0729436109674082,1,0.13607188703466022,0.0,0.005320770380964594
3_5414,0.13450594930160364,1,0.13478818998716324,0.0,0.01809185039752557
2_3963,0.1970190964136004,9,0.08742886704604239,0.0013147220410509562,0.038816524351631576
2_2371,0.04704238472286912,1,0.05845835488877382,0.0,0.0022129859604144296
2_2424,0.047973917093619006,2,0.06699430936368334,3.2784788072439467e-06,0.00230149672130543
2_2726,0.0551932929669306,3,0.07501293326435587,8.849662521866582e-05,0.0030462995885334313
2_3404,0.08500232883092687,2,0.06802897051215727,0.00010176665848608002,0.007225395906681022
